기간,area,acd,자동차 1만대당 발생건수,death,인구 10만명당 사망자수,부상자수,인구 10만명당 부상자수
2019,합계,"39,258",109.9,250,2.5,"53,904",538.4
2019,종로구,"1,133",178.9,6,3.7,"1,559",963.1
2019,중구,"1,184",179.2,5,3.7,"1,615","1,183.30"
2019,용산구,"1,187",128.1,10,4.1,"1,614",658.3
2019,성동구,"1,091",86.3,13,4.2,"1,439",465.7
2019,광진구,973,82.8,3,0.8,"1,316",358.6
2019,동대문구,"1,565",128.7,15,4.1,"1,988",547.6
2019,중랑구,"1,620",118.2,12,3,"2,122",527.8
2019,성북구,"1,509",103.5,8,1.8,"2,007",441.3
2019,강북구,"1,277",130,7,2.2,"1,706",537
2019,도봉구,852,76.6,4,1.2,"1,163",346.5
2019,노원구,"1,703",102,8,1.5,"2,302",428.4
2019,은평구,"1,119",74.3,7,1.4,"1,464",302.1
2019,서대문구,"1,113",109.2,14,4.3,"1,609",497.9
2019,마포구,"1,494",110.6,7,1.8,"2,123",550.1
2019,양천구,"1,506",89.4,11,2.4,"2,085",451
2019,강서구,"1,829",81.9,20,3.3,"2,491",416.4
2019,구로구,"1,529",95.5,13,3,"2,096",477
2019,금천구,920,92.8,9,3.6,"1,353",537.3
2019,영등포구,"2,439",154.1,11,2.7,"3,451",860.6
2019,동작구,"1,406",116.6,5,1.2,"2,021",494.2
2019,관악구,"1,363",94.3,10,1.9,"1,755",339.2
2019,서초구,"2,418",124.9,14,3.2,"3,530",811.3
2019,강남구,"3,722",147.4,14,2.5,"5,182",941.8
2019,송파구,"2,892",110.4,13,1.9,"4,003",586.3
2019,강동구,"1,414",90.5,11,2.5,"1,910",433.7
